,ID,class,gender,race,GPA,Algebra,Calculus1,Calculus2,Statistics,Probability,Measure,from1,from2,from3,from4,y,Avg_Calc,Country
0,1141,A,male,1,73.47,64,81,87,60,74,71,A,A,A,3,0,84.0,USA
1,1142,A,female,1,71.22,57,50,51,51,55,62,B,A,A,2,0,50.5,USA
2,1143,A,female,2,74.56,47,48,71,60,61,68,C,A,A,0,1,59.5,USA
3,1144,A,female,1,72.89,46,72,38,60,29,54,D,A,A,0,0,55.0,USA
4,1145,A,female,1,70.11,49,45,63,60,66,66,E,A,A,0,0,54.0,USA
5,1146,A,male,3,65.04,60,60,39,61,65,74,F,B,C,0,0,49.5,USA
6,1147,A,male,4,77.11,60,43,52,63,71,72,G,A,A,0,1,47.5,USA
7,1148,A,female,5,64.75,60,38,60,63,70,68,H,B,C,0,0,49.0,USA
8,1149,B,female,5,77.92,61,60,66,68,80,78,I,B,A,0,0,63.0,USA
9,1150,A,female,5,76.5,60,61,60,69,73,60,H,B,A,0,0,60.5,USA
10,1151,A,male,1,76.83,61,66,61,69,65,69,H,B,A,0,0,63.5,USA
11,1152,B,female,1,83.65,73,75,76,71,85,74,J,B,A,2,0,75.5,USA
12,1153,B,female,1,77.0,70,60,71,71,87,68,K,B,D,0,0,65.5,USA
13,1154,A,male,1,80.08,67,65,74,73,87,68,E,B,A,0,2,69.5,USA
14,1155,A,male,1,81.67,73,60,55,76,77,74,L,A,A,0,2,57.5,USA
15,1156,B,female,6,82.07,72,63,70,76,81,86,E,B,A,0,2,66.5,USA
16,1157,A,male,1,74.11,74,70,61,76,68,57,M,B,A,0,2,65.5,USA
17,1158,A,male,1,81.5,68,67,55,76,85,75,B,A,A,0,0,61.0,USA
18,1159,B,male,1,75.64,60,68,54,76,76,76,N,B,A,0,0,61.0,USA
19,1160,A,male,7,76.46,67,73,64,78,83,76,O,B,B,0,2,68.5,USA
20,1161,B,male,1,75.57,63,64,71,78,69,76,I,B,A,0,2,67.5,USA
21,1162,B,male,1,83.13,82,82,92,78,92,83,N,B,A,2,0,87.0,USA
22,1163,B,female,1,79.7,72,68,55,78,77,68,B,B,D,2,0,61.5,USA
23,1164,A,female,1,83.98,71,73,83,79,88,87,F,B,A,2,0,78.0,USA
24,1165,A,male,3,79.56,64,62,76,80,81,80,F,B,C,0,0,69.0,USA
25,1166,A,female,4,78.54,76,67,71,80,71,83,P,A,D,0,0,69.0,USA
26,1167,B,female,1,77.76,67,46,71,80,82,69,P,B,A,2,0,58.5,USA
27,1168,A,female,1,83.06,68,72,71,81,86,81,F,B,A,2,0,71.5,USA
28,1169,A,male,1,84.04,73,80,85,83,79,73,Q,B,S,0,0,82.5,USA
29,1170,A,female,1,85.29,77,64,64,83,95,80,R,A,A,0,2,64.0,USA
30,1171,B,female,1,85.04,76,75,85,83,88,82,J,B,A,2,0,80.0,USA
31,1172,A,male,3,87.04,87,98,93,83,95,87,B,B,B,0,0,95.5,USA
32,1173,A,male,2,74.17,63,73,61,83,72,55,C,A,A,0,0,67.0,USA
33,1174,A,male,7,82.71,82,90,90,83,77,79,Q,B,B,0,0,90.0,USA
34,1175,A,female,1,81.29,67,62,85,83,82,83,D,A,A,0,0,73.5,USA
35,1176,A,female,1,85.55,69,83,73,83,85,67,N,A,A,2,1,78.0,USA
36,1177,A,female,1,86.43,85,83,88,85,85,92,P,B,A,0,0,85.5,USA
37,1178,A,female,1,85.11,73,61,80,85,90,79,S,A,A,0,0,70.5,USA
38,1179,B,female,1,81.3,72,76,85,85,91,71,P,B,A,0,0,80.5,USA
39,1180,A,female,1,84.01,80,75,83,85,86,87,K,B,A,0,1,79.0,USA
40,1181,B,male,1,83.19,62,73,76,85,79,74,B,B,A,2,0,74.5,USA
41,1182,B,female,1,90.66,88,78,95,85,97,97,B,B,A,0,1,86.5,USA
42,1183,A,female,1,83.94,74,81,87,86,82,80,U,A,A,0,1,84.0,USA
43,1184,A,female,7,81.07,64,55,71,86,67,72,G,A,A,0,0,63.0,USA
44,1185,B,female,1,81.61,84,62,80,86,78,84,B,B,A,0,0,71.0,USA
45,1186,A,female,1,87.85,80,78,90,87,90,87,V,A,A,2,1,84.0,USA
46,1187,A,female,4,80.6,60,60,73,87,82,74,T,A,D,2,1,66.5,USA
47,1188,A,male,5,74.43,66,80,83,87,79,69,H,B,C,2,0,81.5,USA
48,1189,A,female,1,83.15,68,80,92,87,80,83,B,A,A,2,0,86.0,USA
49,1190,A,female,1,82.55,67,71,80,87,87,83,Z,B,A,0,2,75.5,USA
50,1191,A,male,1,79.0,82,72,77,87,82,92,S,B,A,0,1,74.5,USA
51,1192,B,female,1,84.45,76,61,77,87,90,91,A,B,A,2,0,69.0,USA
52,1193,B,female,1,85.02,70,71,83,87,90,80,B,B,D,2,0,77.0,USA
53,1194,A,female,1,77.53,76,53,55,87,82,80,E,B,A,0,0,54.0,USA
54,1195,A,female,1,78.08,65,60,75,88,78,78,J,B,A,0,2,67.5,USA
55,1196,A,female,1,87.44,87,75,91,88,95,89,A,A,A,2,0,83.0,USA
56,1197,A,female,7,81.71,69,68,78,88,78,74,O,A,A,0,0,73.0,USA
57,1198,B,female,1,85.72,75,80,64,88,86,86,E,B,A,0,1,72.0,USA
58,1199,B,female,3,88.35,93,71,85,88,91,92,U,B,A,0,1,78.0,USA
59,1200,B,male,4,79.34,62,75,80,89,75,63,I,B,A,0,0,77.5,USA
60,1201,A,female,1,84.7,62,66,93,89,84,79,W,A,A,0,0,79.5,USA
61,1202,A,male,3,78.39,66,60,66,89,76,75,P,B,B,0,2,63.0,USA
62,1203,B,female,1,77.53,72,71,71,89,82,66,X,B,D,0,0,71.0,USA
63,1204,B,female,1,81.03,73,53,88,89,81,78,K,B,D,0,0,70.5,USA
64,1205,A,female,1,83.79,81,71,68,90,79,86,N,A,A,0,2,69.5,USA
65,1206,A,male,1,86.37,95,76,87,90,86,94,E,B,A,0,0,81.5,USA
66,1207,B,female,1,87.3,81,80,83,90,94,95,K,B,A,0,2,81.5,USA
67,1208,A,female,1,84.41,82,77,86,91,75,72,P,B,A,0,0,81.5,USA
68,1209,A,female,1,93.06,82,90,93,91,93,99,M,B,S,0,0,91.5,USA
69,1210,A,female,1,87.3,76,88,80,91,89,75,R,A,A,0,2,84.0,USA
70,1211,B,female,1,87.42,85,75,92,91,92,75,K,B,A,0,2,83.5,USA
71,1212,A,female,1,84.33,88,72,85,92,94,87,M,B,A,2,1,78.5,USA
72,1213,A,male,1,89.41,90,87,83,92,97,87,Y,B,D,0,0,85.0,USA
